date,country,os,browser,market_share
2025-03,Romania,Windows,Huawei Browser,0.005
2025-03,Romania,Windows,Vivaldi,0.004
2025-03,Romania,Windows,Aloha Browser,0.002
2025-03,Romania,Windows,Other,0.001
2025-03,Romania,Windows,UC Browser,0.001
2025-03,Romania,Windows,Wave Browser,0.001
2025-03,Romania,iOS,Safari,41.794
2025-03,Romania,iOS,Mobile Safari UI/WKWebView,25.843
2025-03,Romania,iOS,Chrome,14.452
2025-03,Romania,iOS,Facebook,10.658
2025-03,Romania,iOS,Instagram,4.279
2025-03,Romania,iOS,TikTok,1.973
2025-03,Romania,iOS,Firefox,0.266
2025-03,Romania,iOS,DuckDuckGo,0.183
2025-03,Romania,iOS,Pinterest,0.181
2025-03,Romania,iOS,Edge,0.125
2025-03,Romania,iOS,Twitter,0.099
2025-03,Romania,iOS,Aloha Browser,0.051
2025-03,Romania,iOS,Snapchat,0.051
2025-03,Romania,iOS,Yandex Browser,0.028
2025-03,Romania,iOS,Ecosia,0.006
2025-03,Romania,iOS,Opera,0.006
2025-03,Romania,iOS,Brave,0.002
2025-03,Romania,iOS,Other,0.002
2025-03,Russian Federation,Android,Chrome,43.879
2025-03,Russian Federation,Android,Yandex Browser,32.541
2025-03,Russian Federation,Android,Chrome Mobile WebView,18.081
2025-03,Russian Federation,Android,Samsung Internet,1.827
2025-03,Russian Federation,Android,Opera,1.285
2025-03,Russian Federation,Android,Mi Browser,0.903
2025-03,Russian Federation,Android,Huawei Browser,0.528
2025-03,Russian Federation,Android,Firefox,0.299
2025-03,Russian Federation,Android,Edge,0.133
2025-03,Russian Federation,Android,Brave,0.128
2025-03,Russian Federation,Android,Aloha Browser,0.103
2025-03,Russian Federation,Android,DuckDuckGo,0.086
2025-03,Russian Federation,Android,TikTok,0.072
2025-03,Russian Federation,Android,UC Browser,0.065
2025-03,Russian Federation,Android,VivoBrowser,0.029
2025-03,Russian Federation,Android,Oculus Browser,0.011
2025-03,Russian Federation,Android,QQ Browser,0.008
2025-03,Russian Federation,Android,Facebook,0.007
2025-03,Russian Federation,Android,Mint Browser,0.006
2025-03,Russian Federation,Android,Pinterest,0.003
2025-03,Russian Federation,Android,HiBrowser,0.002
2025-03,Russian Federation,Android,Other,0.002
2025-03,Russian Federation,Android,Snapchat,0.002
2025-03,Russian Federation,Android,Instagram,0.001
2025-03,Russian Federation,Desktop,Chrome,39.163
2025-03,Russian Federation,Desktop,Yandex Browser,36.196
2025-03,Russian Federation,Desktop,Edge,9.649
2025-03,Russian Federation,Desktop,Opera,7.318
2025-03,Russian Federation,Desktop,Firefox,4.957
2025-03,Russian Federation,Desktop,Safari,2.24
2025-03,Russian Federation,Desktop,Brave,0.381
2025-03,Russian Federation,Desktop,Mi Browser,0.026
2025-03,Russian Federation,Desktop,Avast Secure Browser,0.019
2025-03,Russian Federation,Desktop,Huawei Browser,0.016
2025-03,Russian Federation,Desktop,DuckDuckGo,0.015
2025-03,Russian Federation,Desktop,Vivaldi,0.006
2025-03,Russian Federation,Desktop,Aloha Browser,0.004
2025-03,Russian Federation,Desktop,AVG,0.003
2025-03,Russian Federation,Desktop,Whale,0.003
2025-03,Russian Federation,Desktop,Mint Browser,0.002
2025-03,Russian Federation,Desktop,Other,0.002
2025-03,Russian Federation,Desktop,UC Browser,0.001
2025-03,Russian Federation,MacOSX,Safari,44.263
2025-03,Russian Federation,MacOSX,Chrome,41.515
2025-03,Russian Federation,MacOSX,Yandex Browser,8.846
2025-03,Russian Federation,MacOSX,Firefox,3.02
2025-03,Russian Federation,MacOSX,Opera,1.353
2025-03,Russian Federation,MacOSX,Edge,0.539
2025-03,Russian Federation,MacOSX,Brave,0.372
2025-03,Russian Federation,MacOSX,DuckDuckGo,0.072
2025-03,Russian Federation,MacOSX,Aloha Browser,0.013
2025-03,Russian Federation,MacOSX,Vivaldi,0.006
2025-03,Russian Federation,MacOSX,Other,0.0
2025-03,Russian Federation,Mobile,Chrome,33.269
2025-03,Russian Federation,Mobile,Yandex Browser,27.375
2025-03,Russian Federation,Mobile,Safari,13.698
2025-03,Russian Federation,Mobile,Chrome Mobile WebView,13.162
2025-03,Russian Federation,Mobile,Mobile Safari UI/WKWebView,8.119
2025-03,Russian Federation,Mobile,Samsung Internet,1.464
2025-03,Russian Federation,Mobile,Opera,0.937
2025-03,Russian Federation,Mobile,Mi Browser,0.658
2025-03,Russian Federation,Mobile,Huawei Browser,0.384
2025-03,Russian Federation,Mobile,Firefox,0.249
2025-03,Russian Federation,Mobile,Pinterest,0.124
2025-03,Russian Federation,Mobile,Edge,0.123
2025-03,Russian Federation,Mobile,Aloha Browser,0.095
2025-03,Russian Federation,Mobile,Brave,0.093
2025-03,Russian Federation,Mobile,DuckDuckGo,0.08
2025-03,Russian Federation,Mobile,TikTok,0.056
2025-03,Russian Federation,Mobile,UC Browser,0.049
2025-03,Russian Federation,Mobile,VivoBrowser,0.021
2025-03,Russian Federation,Mobile,Instagram,0.01
2025-03,Russian Federation,Mobile,Facebook,0.008
2025-03,Russian Federation,Mobile,Oculus Browser,0.008
2025-03,Russian Federation,Mobile,QQ Browser,0.007
2025-03,Russian Federation,Mobile,Mint Browser,0.004
2025-03,Russian Federation,Mobile,HiBrowser,0.002
2025-03,Russian Federation,Mobile,Other,0.002
2025-03,Russian Federation,Mobile,Snapchat,0.002
2025-03,Russian Federation,Mobile,WhatsApp,0.002
2025-03,Russian Federation,Mobile,Twitter,0.001
2025-03,Russian Federation,Windows,Chrome,38.448
2025-03,Russian Federation,Windows,Yandex Browser,38.279
2025-03,Russian Federation,Windows,Edge,10.382
2025-03,Russian Federation,Windows,Opera,7.781
2025-03,Russian Federation,Windows,Firefox,4.67
2025-03,Russian Federation,Windows,Brave,0.368
2025-03,Russian Federation,Windows,Avast Secure Browser,0.021
2025-03,Russian Federation,Windows,Huawei Browser,0.017
2025-03,Russian Federation,Windows,DuckDuckGo,0.012
2025-03,Russian Federation,Windows,Safari,0.007
2025-03,Russian Federation,Windows,Vivaldi,0.005
2025-03,Russian Federation,Windows,AVG,0.003
2025-03,Russian Federation,Windows,Whale,0.003
2025-03,Russian Federation,Windows,Aloha Browser,0.001
2025-03,Russian Federation,Windows,Other,0.001
2025-03,Russian Federation,Windows,QQ Browser,0.001
2025-03,Russian Federation,Windows,UC Browser,0.001
2025-03,Russian Federation,iOS,Safari,50.594
2025-03,Russian Federation,iOS,Mobile Safari UI/WKWebView,30.177
2025-03,Russian Federation,iOS,Yandex Browser,13.706
2025-03,Russian Federation,iOS,Chrome,4.648
2025-03,Russian Federation,iOS,Pinterest,0.452
2025-03,Russian Federation,iOS,Firefox,0.115
2025-03,Russian Federation,iOS,Aloha Browser,0.075
2025-03,Russian Federation,iOS,Edge,0.075
2025-03,Russian Federation,iOS,DuckDuckGo,0.064
2025-03,Russian Federation,iOS,Instagram,0.034
2025-03,Russian Federation,iOS,TikTok,0.015
2025-03,Russian Federation,iOS,Facebook,0.011
2025-03,Russian Federation,iOS,Opera,0.008
2025-03,Russian Federation,iOS,UC Browser,0.006
2025-03,Russian Federation,iOS,WhatsApp,0.006
2025-03,Russian Federation,iOS,QQ Browser,0.004
2025-03,Russian Federation,iOS,Twitter,0.004
2025-03,Russian Federation,iOS,Mi Browser,0.002
2025-03,Russian Federation,iOS,Puffin,0.002
2025-03,Russian Federation,iOS,Snapchat,0.002
2025-03,Russian Federation,iOS,Other,0.0
2025-03,Slovakia,Android,Chrome,68.53
2025-03,Slovakia,Android,Chrome Mobile WebView,10.853
2025-03,Slovakia,Android,Facebook,10.603
2025-03,Slovakia,Android,Samsung Internet,6.157
2025-03,Slovakia,Android,Instagram,0.759
2025-03,Slovakia,Android,Firefox,0.743
2025-03,Slovakia,Android,Opera,0.576
2025-03,Slovakia,Android,Brave,0.482
2025-03,Slovakia,Android,Mi Browser,0.39
2025-03,Slovakia,Android,Huawei Browser,0.384
2025-03,Slovakia,Android,DuckDuckGo,0.161
2025-03,Slovakia,Android,Edge,0.141
2025-03,Slovakia,Android,TikTok,0.058
2025-03,Slovakia,Android,Yandex Browser,0.051
2025-03,Slovakia,Android,Aloha Browser,0.046
2025-03,Slovakia,Android,UC Browser,0.016
2025-03,Slovakia,Android,Oculus Browser,0.01
2025-03,Slovakia,Android,Pinterest,0.01
2025-03,Slovakia,Android,Ecosia,0.009
2025-03,Slovakia,Android,Twitter,0.007
2025-03,Slovakia,Android,HiBrowser,0.005
2025-03,Slovakia,Android,Snapchat,0.003
2025-03,Slovakia,Android,Other,0.002
2025-03,Slovakia,Android,QQ Browser,0.002
2025-03,Slovakia,Android,Instabridge,0.001
2025-03,Slovakia,Android,KakaoTalk,0.001
2025-03,Slovakia,Android,VivoBrowser,0.001
2025-03,Slovakia,Android,Whale,0.001
2025-03,Slovakia,Desktop,Chrome,63.574
2025-03,Slovakia,Desktop,Firefox,13.945
2025-03,Slovakia,Desktop,Edge,11.598
2025-03,Slovakia,Desktop,Safari,4.464
2025-03,Slovakia,Desktop,Opera,4.062
2025-03,Slovakia,Desktop,Brave,1.816
2025-03,Slovakia,Desktop,Avast Secure Browser,0.256
2025-03,Slovakia,Desktop,Yandex Browser,0.151
2025-03,Slovakia,Desktop,AVG,0.08
2025-03,Slovakia,Desktop,DuckDuckGo,0.036
2025-03,Slovakia,Desktop,Vivaldi,0.005
2025-03,Slovakia,Desktop,Mi Browser,0.004
2025-03,Slovakia,Desktop,Huawei Browser,0.003
2025-03,Slovakia,Desktop,Whale,0.003
2025-03,Slovakia,Desktop,Aloha Browser,0.001
2025-03,Slovakia,Desktop,Other,0.001
2025-03,Slovakia,MacOSX,Chrome,47.82
2025-03,Slovakia,MacOSX,Safari,42.765
2025-03,Slovakia,MacOSX,Firefox,5.439
2025-03,Slovakia,MacOSX,Brave,2.524
2025-03,Slovakia,MacOSX,Opera,0.925
2025-03,Slovakia,MacOSX,Edge,0.365
2025-03,Slovakia,MacOSX,DuckDuckGo,0.14
2025-03,Slovakia,MacOSX,Yandex Browser,0.017
2025-03,Slovakia,MacOSX,Aloha Browser,0.004
2025-03,Slovakia,MacOSX,Other,0.0
2025-03,Slovakia,Mobile,Chrome,54.691
2025-03,Slovakia,Mobile,Safari,12.574
2025-03,Slovakia,Mobile,Facebook,10.401
2025-03,Slovakia,Mobile,Chrome Mobile WebView,7.997
2025-03,Slovakia,Mobile,Mobile Safari UI/WKWebView,5.253
2025-03,Slovakia,Mobile,Samsung Internet,4.778
2025-03,Slovakia,Mobile,Instagram,1.637
2025-03,Slovakia,Mobile,Firefox,0.637
2025-03,Slovakia,Mobile,Opera,0.427
2025-03,Slovakia,Mobile,Brave,0.355
2025-03,Slovakia,Mobile,Mi Browser,0.287
2025-03,Slovakia,Mobile,Huawei Browser,0.283
2025-03,Slovakia,Mobile,DuckDuckGo,0.168
2025-03,Slovakia,Mobile,Edge,0.15
2025-03,Slovakia,Mobile,TikTok,0.141
2025-03,Slovakia,Mobile,Pinterest,0.054
2025-03,Slovakia,Mobile,Yandex Browser,0.05
2025-03,Slovakia,Mobile,Aloha Browser,0.047
2025-03,Slovakia,Mobile,Twitter,0.027
2025-03,Slovakia,Mobile,UC Browser,0.012
2025-03,Slovakia,Mobile,Ecosia,0.008
2025-03,Slovakia,Mobile,Oculus Browser,0.007
2025-03,Slovakia,Mobile,Snapchat,0.007
2025-03,Slovakia,Mobile,HiBrowser,0.004
2025-03,Slovakia,Mobile,Other,0.003
2025-03,Slovakia,Mobile,QQ Browser,0.002
2025-03,Slovakia,Mobile,KakaoTalk,0.001
2025-03,Slovakia,Mobile,VivoBrowser,0.001
2025-03,Slovakia,Mobile,Whale,0.001
2025-03,Slovakia,Windows,Chrome,65.445
2025-03,Slovakia,Windows,Firefox,14.476
2025-03,Slovakia,Windows,Edge,13.287
2025-03,Slovakia,Windows,Opera,4.501
2025-03,Slovakia,Windows,Brave,1.687
2025-03,Slovakia,Windows,Avast Secure Browser,0.295
2025-03,Slovakia,Windows,Yandex Browser,0.169
2025-03,Slovakia,Windows,AVG,0.092
2025-03,Slovakia,Windows,DuckDuckGo,0.025
2025-03,Slovakia,Windows,Safari,0.013
2025-03,Slovakia,Windows,Vivaldi,0.004
2025-03,Slovakia,Windows,Huawei Browser,0.003
2025-03,Slovakia,Windows,Whale,0.003
2025-03,Slovakia,Windows,Other,0.0
2025-03,Slovakia,iOS,Safari,47.993
2025-03,Slovakia,iOS,Mobile Safari UI/WKWebView,20.479
2025-03,Slovakia,iOS,Chrome,15.748
2025-03,Slovakia,iOS,Facebook,10.088
2025-03,Slovakia,iOS,Instagram,4.202
2025-03,Slovakia,iOS,TikTok,0.382
2025-03,Slovakia,iOS,Firefox,0.349
2025-03,Slovakia,iOS,DuckDuckGo,0.192
2025-03,Slovakia,iOS,Pinterest,0.182
2025-03,Slovakia,iOS,Edge,0.159
2025-03,Slovakia,iOS,Twitter,0.088
2025-03,Slovakia,iOS,Aloha Browser,0.052
2025-03,Slovakia,iOS,Yandex Browser,0.049
2025-03,Slovakia,iOS,Snapchat,0.019
2025-03,Slovakia,iOS,Opera,0.009
2025-03,Slovakia,iOS,Ecosia,0.005
2025-03,Slovakia,iOS,Other,0.005
2025-03,Slovenia,Android,Chrome,70.64
2025-03,Slovenia,Android,Samsung Internet,10.502
2025-03,Slovenia,Android,Facebook,9.402
2025-03,Slovenia,Android,Chrome Mobile WebView,5.628
2025-03,Slovenia,Android,Instagram,0.834
2025-03,Slovenia,Android,Firefox,0.761
2025-03,Slovenia,Android,Brave,0.632
2025-03,Slovenia,Android,Huawei Browser,0.601
2025-03,Slovenia,Android,Opera,0.244
2025-03,Slovenia,Android,DuckDuckGo,0.234
2025-03,Slovenia,Android,Edge,0.169
2025-03,Slovenia,Android,Mi Browser,0.161
2025-03,Slovenia,Android,TikTok,0.075
2025-03,Slovenia,Android,Aloha Browser,0.057
2025-03,Slovenia,Android,Yandex Browser,0.02
2025-03,Slovenia,Android,Ecosia,0.009
2025-03,Slovenia,Android,Snapchat,0.007
2025-03,Slovenia,Android,Pinterest,0.005
2025-03,Slovenia,Android,QQ Browser,0.005
2025-03,Slovenia,Android,UC Browser,0.005
2025-03,Slovenia,Android,Other,0.003
2025-03,Slovenia,Android,Oculus Browser,0.002
2025-03,Slovenia,Android,Twitter,0.002
2025-03,Slovenia,Android,Whale,0.001
2025-03,Slovenia,Desktop,Chrome,63.227
2025-03,Slovenia,Desktop,Firefox,15.52
2025-03,Slovenia,Desktop,Edge,11.369
2025-03,Slovenia,Desktop,Safari,4.557
2025-03,Slovenia,Desktop,Brave,2.713
2025-03,Slovenia,Desktop,Opera,2.23
2025-03,Slovenia,Desktop,Avast Secure Browser,0.214
2025-03,Slovenia,Desktop,DuckDuckGo,0.06
2025-03,Slovenia,Desktop,Yandex Browser,0.059
2025-03,Slovenia,Desktop,AVG,0.041
2025-03,Slovenia,Desktop,Huawei Browser,0.003
2025-03,Slovenia,Desktop,Mi Browser,0.003
2025-03,Slovenia,Desktop,Whale,0.002
2025-03,Slovenia,Desktop,Aloha Browser,0.001
2025-03,Slovenia,Desktop,Other,0.001
2025-03,Slovenia,Desktop,Vivaldi,0.001
2025-03,Slovenia,MacOSX,Chrome,43.952
2025-03,Slovenia,MacOSX,Safari,43.938
2025-03,Slovenia,MacOSX,Firefox,7.626
2025-03,Slovenia,MacOSX,Brave,3.132
2025-03,Slovenia,MacOSX,Opera,0.756
2025-03,Slovenia,MacOSX,Edge,0.337
2025-03,Slovenia,MacOSX,DuckDuckGo,0.23
2025-03,Slovenia,MacOSX,Yandex Browser,0.02
2025-03,Slovenia,MacOSX,Other,0.009
2025-03,Slovenia,Mobile,Chrome,58.06
2025-03,Slovenia,Mobile,Safari,12.512
2025-03,Slovenia,Mobile,Facebook,9.501
2025-03,Slovenia,Mobile,Samsung Internet,8.154
2025-03,Slovenia,Mobile,Chrome Mobile WebView,4.343
2025-03,Slovenia,Mobile,Mobile Safari UI/WKWebView,2.897
2025-03,Slovenia,Mobile,Instagram,1.719
2025-03,Slovenia,Mobile,Firefox,0.697
2025-03,Slovenia,Mobile,Brave,0.488
2025-03,Slovenia,Mobile,Huawei Browser,0.464
2025-03,Slovenia,Mobile,DuckDuckGo,0.231
2025-03,Slovenia,Mobile,TikTok,0.218
2025-03,Slovenia,Mobile,Opera,0.189
2025-03,Slovenia,Mobile,Edge,0.171
2025-03,Slovenia,Mobile,Mi Browser,0.124
2025-03,Slovenia,Mobile,Snapchat,0.065
2025-03,Slovenia,Mobile,Aloha Browser,0.051
2025-03,Slovenia,Mobile,Pinterest,0.042
2025-03,Slovenia,Mobile,Twitter,0.029
2025-03,Slovenia,Mobile,Yandex Browser,0.022
2025-03,Slovenia,Mobile,Ecosia,0.01
2025-03,Slovenia,Mobile,QQ Browser,0.004
2025-03,Slovenia,Mobile,UC Browser,0.004
2025-03,Slovenia,Mobile,Other,0.003
2025-03,Slovenia,Mobile,Oculus Browser,0.002
2025-03,Slovenia,Mobile,Whale,0.001
2025-03,Slovenia,Windows,Chrome,65.23
2025-03,Slovenia,Windows,Firefox,16.1
2025-03,Slovenia,Windows,Edge,13.16
2025-03,Slovenia,Windows,Brave,2.633
2025-03,Slovenia,Windows,Opera,2.46
2025-03,Slovenia,Windows,Avast Secure Browser,0.248
2025-03,Slovenia,Windows,Yandex Browser,0.065
2025-03,Slovenia,Windows,AVG,0.047
2025-03,Slovenia,Windows,DuckDuckGo,0.042
2025-03,Slovenia,Windows,Safari,0.006
2025-03,Slovenia,Windows,Huawei Browser,0.004
2025-03,Slovenia,Windows,Other,0.003
2025-03,Slovenia,Windows,Whale,0.002
2025-03,Slovenia,iOS,Safari,54.899
2025-03,Slovenia,iOS,Chrome,15.578
2025-03,Slovenia,iOS,Mobile Safari UI/WKWebView,12.725
2025-03,Slovenia,iOS,Facebook,9.865
2025-03,Slovenia,iOS,Instagram,4.723
2025-03,Slovenia,iOS,TikTok,0.704
2025-03,Slovenia,iOS,Firefox,0.482
2025-03,Slovenia,iOS,Snapchat,0.262
2025-03,Slovenia,iOS,DuckDuckGo,0.22
2025-03,Slovenia,iOS,Edge,0.177
2025-03,Slovenia,iOS,Pinterest,0.167
2025-03,Slovenia,iOS,Twitter,0.119
2025-03,Slovenia,iOS,Aloha Browser,0.032
2025-03,Slovenia,iOS,Yandex Browser,0.027
2025-03,Slovenia,iOS,Ecosia,0.013
2025-03,Slovenia,iOS,Opera,0.003
2025-03,Slovenia,iOS,Other,0.003
2025-03,South Africa,Android,Chrome,56.904
2025-03,South Africa,Android,Chrome Mobile WebView,28.298
2025-03,South Africa,Android,Samsung Internet,4.494
2025-03,South Africa,Android,Facebook,3.824
2025-03,South Africa,Android,Huawei Browser,2.475
2025-03,South Africa,Android,Opera,1.671
2025-03,South Africa,Android,Instagram,0.61
2025-03,South Africa,Android,Brave,0.497
2025-03,South Africa,Android,UC Browser,0.366
2025-03,South Africa,Android,Firefox,0.212
2025-03,South Africa,Android,TikTok,0.205
2025-03,South Africa,Android,Edge,0.15
2025-03,South Africa,Android,DuckDuckGo,0.077
2025-03,South Africa,Android,Twitter,0.073
2025-03,South Africa,Android,Aloha Browser,0.029
2025-03,South Africa,Android,VivoBrowser,0.027
2025-03,South Africa,Android,Mi Browser,0.02
2025-03,South Africa,Android,Instabridge,0.019
2025-03,South Africa,Android,Pinterest,0.015
2025-03,South Africa,Android,Yandex Browser,0.014
2025-03,South Africa,Android,QQ Browser,0.005
2025-03,South Africa,Android,Ecosia,0.003
2025-03,South Africa,Android,Mint Browser,0.003
2025-03,South Africa,Android,Mobile Safari UI/WKWebView,0.003
2025-03,South Africa,Android,HiBrowser,0.001
2025-03,South Africa,Android,Oculus Browser,0.001
2025-03,South Africa,Android,Snapchat,0.001
2025-03,South Africa,Android,Whale,0.001
2025-03,South Africa,Android,Other,0.0
2025-03,South Africa,Desktop,Chrome,65.542
2025-03,South Africa,Desktop,Edge,20.141
2025-03,South Africa,Desktop,Firefox,5.252
2025-03,South Africa,Desktop,Safari,4.317
2025-03,South Africa,Desktop,Brave,2.313
2025-03,South Africa,Desktop,Opera,1.981
2025-03,South Africa,Desktop,Avast Secure Browser,0.22
2025-03,South Africa,Desktop,AVG,0.134
2025-03,South Africa,Desktop,DuckDuckGo,0.046
2025-03,South Africa,Desktop,Yandex Browser,0.023
2025-03,South Africa,Desktop,Huawei Browser,0.015
2025-03,South Africa,Desktop,QQ Browser,0.003
2025-03,South Africa,Desktop,UC Browser,0.003
2025-03,South Africa,Desktop,VivoBrowser,0.003
2025-03,South Africa,Desktop,Whale,0.003
2025-03,South Africa,Desktop,Aloha Browser,0.001
2025-03,South Africa,Desktop,Coc Coc,0.001
2025-03,South Africa,Desktop,Other,0.001
2025-03,South Africa,Desktop,Vivaldi,0.001
2025-03,South Africa,Desktop,Wave Browser,0.001
2025-03,South Africa,MacOSX,Chrome,61.418
2025-03,South Africa,MacOSX,Safari,31.987
2025-03,South Africa,MacOSX,Firefox,3.364
2025-03,South Africa,MacOSX,Brave,1.76
2025-03,South Africa,MacOSX,Opera,0.853
2025-03,South Africa,MacOSX,Edge,0.5
2025-03,South Africa,MacOSX,DuckDuckGo,0.098
2025-03,South Africa,MacOSX,Yandex Browser,0.007
2025-03,South Africa,MacOSX,Avast Secure Browser,0.005
2025-03,South Africa,MacOSX,Other,0.003
2025-03,South Africa,MacOSX,AVG,0.002
2025-03,South Africa,MacOSX,Vivaldi,0.002
2025-03,South Africa,Mobile,Chrome,49.582
2025-03,South Africa,Mobile,Chrome Mobile WebView,23.669
2025-03,South Africa,Mobile,Safari,6.99
2025-03,South Africa,Mobile,Mobile Safari UI/WKWebView,5.11
2025-03,South Africa,Mobile,Facebook,4.17
2025-03,South Africa,Mobile,Samsung Internet,3.959
2025-03,South Africa,Mobile,Huawei Browser,2.07
2025-03,South Africa,Mobile,Opera,1.399
2025-03,South Africa,Mobile,Instagram,1.23
2025-03,South Africa,Mobile,Brave,0.416
2025-03,South Africa,Mobile,TikTok,0.312
2025-03,South Africa,Mobile,UC Browser,0.307
2025-03,South Africa,Mobile,Firefox,0.225
2025-03,South Africa,Mobile,Edge,0.156
2025-03,South Africa,Mobile,Twitter,0.149
2025-03,South Africa,Mobile,DuckDuckGo,0.085
2025-03,South Africa,Mobile,Pinterest,0.053
2025-03,South Africa,Mobile,Aloha Browser,0.037
2025-03,South Africa,Mobile,VivoBrowser,0.023
2025-03,South Africa,Mobile,Instabridge,0.016
2025-03,South Africa,Mobile,Mi Browser,0.016
2025-03,South Africa,Mobile,Yandex Browser,0.013
2025-03,South Africa,Mobile,QQ Browser,0.005
2025-03,South Africa,Mobile,Ecosia,0.004
2025-03,South Africa,Mobile,Mint Browser,0.002
2025-03,South Africa,Mobile,Snapchat,0.002
2025-03,South Africa,Mobile,HiBrowser,0.001
2025-03,South Africa,Mobile,Oculus Browser,0.001
2025-03,South Africa,Mobile,Other,0.001
2025-03,South Africa,Windows,Chrome,65.566
2025-03,South Africa,Windows,Edge,24.145
2025-03,South Africa,Windows,Firefox,5.178
2025-03,South Africa,Windows,Brave,2.408
2025-03,South Africa,Windows,Opera,2.171
2025-03,South Africa,Windows,Avast Secure Browser,0.264
2025-03,South Africa,Windows,AVG,0.161
2025-03,South Africa,Windows,DuckDuckGo,0.039
2025-03,South Africa,Windows,Yandex Browser,0.025
2025-03,South Africa,Windows,Huawei Browser,0.018
2025-03,South Africa,Windows,Safari,0.007
2025-03,South Africa,Windows,QQ Browser,0.004
2025-03,South Africa,Windows,UC Browser,0.004
2025-03,South Africa,Windows,Whale,0.004
2025-03,South Africa,Windows,VivoBrowser,0.003
2025-03,South Africa,Windows,Aloha Browser,0.001
2025-03,South Africa,Windows,Coc Coc,0.001
2025-03,South Africa,Windows,Other,0.001
2025-03,South Africa,Windows,Vivaldi,0.001
2025-03,South Africa,Windows,Wave Browser,0.001
2025-03,South Africa,iOS,Safari,43.181
2025-03,South Africa,iOS,Mobile Safari UI/WKWebView,31.755
2025-03,South Africa,iOS,Chrome,12.17
2025-03,South Africa,iOS,Facebook,6.045
2025-03,South Africa,iOS,Instagram,4.473
2025-03,South Africa,iOS,TikTok,0.874
2025-03,South Africa,iOS,Twitter,0.544
2025-03,South Africa,iOS,Firefox,0.295
2025-03,South Africa,iOS,Pinterest,0.253
2025-03,South Africa,iOS,Edge,0.18
2025-03,South Africa,iOS,DuckDuckGo,0.123
2025-03,South Africa,iOS,Aloha Browser,0.076
2025-03,South Africa,iOS,Yandex Browser,0.007
2025-03,South Africa,iOS,Ecosia,0.006
2025-03,South Africa,iOS,Opera,0.006
2025-03,South Africa,iOS,Snapchat,0.005
2025-03,South Africa,iOS,UC Browser,0.003
2025-03,South Africa,iOS,Other,0.002
2025-03,South Africa,iOS,QQ Browser,0.001
2025-03,Spain,Android,Chrome,70.55
2025-03,Spain,Android,Chrome Mobile WebView,15.061
2025-03,Spain,Android,Samsung Internet,4.396
2025-03,Spain,Android,Facebook,4.106
2025-03,Spain,Android,Instagram,2.478
2025-03,Spain,Android,Mi Browser,0.75
2025-03,Spain,Android,Brave,0.684
2025-03,Spain,Android,Firefox,0.616
2025-03,Spain,Android,TikTok,0.297
2025-03,Spain,Android,Opera,0.278
2025-03,Spain,Android,Edge,0.232
2025-03,Spain,Android,DuckDuckGo,0.221
2025-03,Spain,Android,Huawei Browser,0.114
2025-03,Spain,Android,Aloha Browser,0.071
2025-03,Spain,Android,Ecosia,0.047
2025-03,Spain,Android,UC Browser,0.024
2025-03,Spain,Android,Yandex Browser,0.024
2025-03,Spain,Android,Oculus Browser,0.016
2025-03,Spain,Android,Twitter,0.015
2025-03,Spain,Android,Pinterest,0.007
2025-03,Spain,Android,Instabridge,0.003
2025-03,Spain,Android,QQ Browser,0.003
2025-03,Spain,Android,HiBrowser,0.002
2025-03,Spain,Android,Mint Browser,0.002
2025-03,Spain,Android,VivoBrowser,0.002
2025-03,Spain,Android,Other,0.001
2025-03,Spain,Android,Snapchat,0.001
2025-03,Spain,Android,Whale,0.001
2025-03,Spain,Desktop,Chrome,72.464
2025-03,Spain,Desktop,Edge,10.248
2025-03,Spain,Desktop,Firefox,8.637
2025-03,Spain,Desktop,Safari,5.254
2025-03,Spain,Desktop,Opera,1.719
2025-03,Spain,Desktop,Brave,1.315
2025-03,Spain,Desktop,Avast Secure Browser,0.201
2025-03,Spain,Desktop,AVG,0.052
2025-03,Spain,Desktop,DuckDuckGo,0.048
2025-03,Spain,Desktop,Yandex Browser,0.029
2025-03,Spain,Desktop,Mi Browser,0.011
2025-03,Spain,Desktop,Sogou Explorer,0.008
2025-03,Spain,Desktop,UC Browser,0.003
2025-03,Spain,Desktop,Whale,0.003
2025-03,Spain,Desktop,Aloha Browser,0.002
2025-03,Spain,Desktop,Huawei Browser,0.002
2025-03,Spain,Desktop,Vivaldi,0.002
2025-03,Spain,Desktop,Other,0.001
2025-03,Spain,MacOSX,Chrome,55.33
2025-03,Spain,MacOSX,Safari,36.278
2025-03,Spain,MacOSX,Firefox,6.087
2025-03,Spain,MacOSX,Brave,1.332
2025-03,Spain,MacOSX,Opera,0.455
2025-03,Spain,MacOSX,Edge,0.352
2025-03,Spain,MacOSX,DuckDuckGo,0.14
2025-03,Spain,MacOSX,Yandex Browser,0.018
2025-03,Spain,MacOSX,Aloha Browser,0.003
2025-03,Spain,MacOSX,Avast Secure Browser,0.002
2025-03,Spain,MacOSX,Vivaldi,0.002
2025-03,Spain,MacOSX,Whale,0.001
2025-03,Spain,MacOSX,Other,0.0
2025-03,Spain,Mobile,Chrome,50.418
2025-03,Spain,Mobile,Mobile Safari UI/WKWebView,14.894
2025-03,Spain,Mobile,Safari,10.942
2025-03,Spain,Mobile,Chrome Mobile WebView,9.887
2025-03,Spain,Mobile,Instagram,4.102
